drugname,ADR_Count,indi_pt,Severe_Outcome_Rate,ADR_Rate
CRESTOR,16428,"BLOOD CHOLESTEROL INCREASED, STENT PLACEMENT, ARTERIAL OCCLUSIVE DISEASE",0.005356708059410762,0.003033311588568618
LAMICTAL,16398,"EPILEPSY, PRODUCT USED FOR UNKNOWN INDICATION, PROPHYLAXIS",0.08470545188437614,0.0030277723051709395
ROACTEMRA,16011,"RHEUMATOID ARTHRITIS, INSOMNIA, CONSTIPATION",0.09368559115608019,0.0029563155493408898
TEMODAL,15761,"ANAPLASTIC ASTROCYTOMA, GLIOBLASTOMA MULTIFORME, DIZZINESS",0.3025188757058562,0.002910154854360238
VX-950,15136,"HEPATITIS C, CHRONIC HEPATITIS C, PRURITUS",0.007994186046511628,0.002794753116908607
LEVAQUIN,14733,"ASTHMA, SINUSITIS, SEPSIS",0.01269259485508722,0.0027203420765997957
SPRYCEL (PH+ALL) TABS,14712,"ACUTE LYMPHOCYTIC LEUKAEMIA, PROPHYLAXIS AGAINST GRAFT VERSUS HOST DISEASE, PROPHYLAXIS",0.2501359434475258,0.002716464578221421
VELCADE,14495,"MULTIPLE MYELOMA, ACUTE LYMPHOCYTIC LEUKAEMIA, MANTLE CELL LYMPHOMA",0.20096585029320455,0.002676397094978215
SYMBICORT,14191,"ASTHMA, PROPHYLAXIS, GASTROOESOPHAGEAL REFLUX DISEASE",0.0032414910858995136,0.0026202656898817417
METOCLOPRAMIDE,13900,"DYSPHAGIA, GASTROINTESTINAL DISORDER, GASTROOESOPHAGEAL REFLUX DISEASE",0.013884892086330935,0.0025665346409242625
PROLIA,13307,"OSTEOPOROSIS POSTMENOPAUSAL, OSTEITIS DEFORMANS, PATHOLOGICAL FRACTURE",0.015706019388291876,0.002457041472430156
GLIVEC,13189,"CHRONIC MYELOID LEUKAEMIA, HYPERTENSION, HYPERURICAEMIA",0.3065433315641823,0.002435253624399288
ACLASTA,13179,"OSTEOPOROSIS, OSTEONECROSIS, OSTEOPOROSIS POSTMENOPAUSAL",0.08498368616738751,0.0024334071966000616
OCELLA,12711,"PREMENSTRUAL SYNDROME, CONTRACEPTION, HYPOTHYROIDISM",0.0013374242781842498,0.002346994375596281
SAMSCA,12679,"CARDIAC FAILURE, HYPONATRAEMIA, OEDEMA PERIPHERAL",0.22241501695717328,0.0023410858066387572
CERTOLIZUMAB PEGOL,12315,"RHEUMATOID ARTHRITIS, GASTRITIS, HYPERTENSION",0.2535119772634998,0.0022738758347469277
FORTEO,12276,"OSTEOPOROSIS, CALCIUM DEFICIENCY, BLOOD CHOLESTEROL INCREASED",0.042196155099380905,0.002266674766329946
OXALIPLATIN,11682,"METASTATIC COLORECTAL CANCER, COLON CARCINOMA, DRUG USE FOR UNKNOWN INDICATION",0.20552987502140044,0.0021569969550559163
ALIMTA,11643,"LUNG ADENOCARCINOMA RECURRENT, HYPERTENSION, DIZZINESS",0.30567723095422145,0.0021497958866389345
LIPITOR,11642,"HYPERCHOLESTEROLAEMIA, CARDIOMYOPATHY, DIABETES MELLITUS",0.018982992612953102,0.002149611243859012
ACTEMRA,11183,"RHEUMATOID ARTHRITIS, GASTRITIS, RAYNAUD'S PHENOMENON",0.11848341232227488,0.0020648602078745344
AZACITIDINE INJECTABLE,11133,"ACUTE MYELOID LEUKEMIA, UTERINE CANCER, NAUSEA",0.07140932363244408,0.002055628068878404
SPRYCEL,11023,"CHRONIC MYELOID LEUKAEMIA, ACUTE LYMPHOCYTIC LEUKAEMIA, PROPHYLAXIS",0.2688015966615259,0.002035317363086917
DURAGESIC,11019,"PAIN IN EXTREMITY, MUSCULOSKELETAL PAIN, PRODUCT USED FOR UNKNOWN INDICATION",0.029403757146746527,0.0020345787919672266
"XYREM (500 MILLIGRAM/MILLILITERS, SOLUTION) (SODIUM OXYBATE)",10788,"CATAPLEXY, INSOMNIA, NARCOLEPSY",0.009362254356692622,0.001991926309805104
MIRENA,10670,"CONTRACEPTION, PYELONEPHRITIS, GASTRITIS",0.003936269915651359,0.0019701384617742362
TACROLIMUS CAPSULES,10594,"LUPUS NEPHRITIS, HYPERTENSION, PROPHYLAXIS",0.0062299414763073435,0.001956105610500118
LEPONEX / CLOZARIL,10533,"SCHIZOPHRENIA, PARANOID TYPE, SCHIZOPHRENIA, SALIVARY HYPERSECRETION",0.24703313395993545,0.0019448424009248387
METHADONE,10455,"CANCER PAIN, PAIN, CONSTIPATION",0.44505021520803445,0.0019304402640908753
XYREM,10398,"REM SLEEP ABNORMAL, SLEEP DISORDER, EXCESSIVE DAYTIME SLEEPINESS",0.028082323523754567,0.0019199156256352865
CYMBALTA,10362,"DEPRESSION, BLOOD PRESSURE, BLOOD CHOLESTEROL",0.03618992472495657,0.0019132684855580726
MABTHERA,10234,"SYSTEMIC LUPUS ERYTHEMATOSUS, RAYNAUD'S PHENOMENON, OSTEOPOROSIS",0.21262458471760798,0.0018896342097279788
THALOMID,9898,"MYELOMA, DRUG USE FOR UNKNOWN INDICATION, MULTIPLE MYELOMA",0.269852495453627,0.0018275942356739822
TRACLEER,9813,"PULMONARY ARTERIAL HYPERTENSION, PULMONARY HYPERTENSION, DIGITAL ULCER",0.18771018037297463,0.0018118995993805604
BEVACIZUMAB,9780,"BREAST CANCER, COLORECTAL CANCER METASTATIC, AGE-RELATED MACULAR DEGENERATION",0.2252556237218814,0.0018058063876431143
RISPERIDONE,9561,"SCHIZOPHRENIA, PRODUCT USED FOR UNKNOWN INDICATION, DEPRESSED MOOD",0.017780566886308965,0.0017653696188400629
PEGINTERFERON ALFA-2B,9443,"CHRONIC HEPATITIS C, HYPERURICAEMIA, DECREASED APPETITE",0.0,0.0017435817708091952
SORAFENIB (RAF KINASE INHIBITOR),9343,"PANCREATIC CARCINOMA METASTATIC, PANCREAS CANCER, SALIVARY GLAND CANCER",0.26565343037568234,0.0017251174928169341
REVATIO,9079,"PULMONARY HYPERTENSION, PULMONARY ARTERIAL HYPERTENSION, ATRIAL FIBRILLATION WITH RAPID VENTRICULAR RESPONSE",0.28593457429232294,0.0016763717989173655
DEXAMETHASONE,9055,"MULTIPLE MYELOMA, INFECTION, ANAEMIA",0.05786858089453341,0.0016719403721992228
TEGRETOL,9001,"EPILEPSY, TEMPORAL LOBE EPILEPSY, CONVULSION",0.06177091434285079,0.0016619696620834021
SIMVASTATIN,8870,"HYPERCHOLESTEROLAEMIA, BACK PAIN, TYPE 2 DIABETES MELLITUS",0.10417136414881624,0.0016377814579135402
SIMPONI,8802,"RHEUMATOID ARTHRITIS, ANKYLOSING SPONDYLITIS, PRODUCT USED FOR UNKNOWN INDICATION",0.10543058395819133,0.0016252257488788028
SAMSCA (TOLVAPTAN) TABLET,8782,"FLUID RETENTION, OFF LABEL USE, CARDIAC FAILURE",0.0011386927806877705,0.0016215328932803507
MOZOBIL,8580,"ACUTE MYELOID LEUKAEMIA, PRODUCT USED FOR UNKNOWN INDICATION, PROPHYLAXIS",0.17004662004662005,0.0015842350517359838
RITUXIMAB,8557,"RHEUMATOID ARTHRITIS, BLOOD PRESSURE, PAIN",0.12960149585134978,0.0015799882677977636
ATENOLOL,8543,"WHEEZING, GASTROOESOPHAGEAL REFLUX DISEASE, BIPOLAR DISORDER",0.002809317569940302,0.0015774032688788471
MYCOPHENOLATE MOFETIL,8251,"PROPHYLAXIS AGAINST TRANSPLANT REJECTION, TRANSPLANT REJECTION, PRODUCT USED FOR UNKNOWN INDICATION",0.06956732517270633,0.0015234875771414453
SOLIRIS 300MG,7868,"HYPERTENSION, PROPHYLAXIS AGAINST TRANSPLANT REJECTION, HYPERCHOLESTEROLAEMIA",0.09786476868327403,0.0014527693924310861
AXITINIB,7862,"METASTATIC RENAL CELL CARCINOMA, PYREXIA, CHRONIC PAIN",0.01602645637242432,0.0014516615357515507
ZYPREXA,7851,"SCHIZOPHRENIA, DEPRESSION, PSYCHOTIC DISORDER",0.0965482104190549,0.0014496304651724018
XOLAIR,7684,"ASTHMA, PRODUCT USED FOR UNKNOWN INDICATION, BLOOD PRESSURE",0.07652264445601249,0.0014187951209253262
ALISKIREN,7656,"CARDIOVASCULAR DISORDER, HYPERTENSION, TYPE 2 DIABETES MELLITUS",0.06752873563218391,0.0014136251230874933
SYMBICORT PMDI,7630,"ASTHMA, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, GASTROOESOPHAGEAL REFLUX DISEASE",0.0060288335517693315,0.0014088244108095053
OMALIZUMAB,7564,"PRODUCT USED FOR UNKNOWN INDICATION, ASTHMA, PREGNANCY",0.01493918561607615,0.0013966379873346132
BETAFERON,7514,"RELAPSING-REMITTING MULTIPLE SCLEROSIS, PREMENSTRUAL SYNDROME, DEPRESSION",0.0,0.0013874058483384828
HOLOXAN,7487,"RHABDOMYOSARCOMA, DRUG USE FOR UNKNOWN INDICATION, EWING'S SARCOMA",0.004274075063443301,0.0013824204932805723
PLACEBO,7389,"PANCREATIC NEUROENDOCRINE TUMOUR, DIARRHOEA, DIABETES MELLITUS",0.2192448233861145,0.0013643255008481566
CIPROFLOXACIN,7376,"RENAL ABSCESS, HEPATITIS B, PRODUCT USED FOR UNKNOWN INDICATION",0.09219088937093275,0.0013619251447091628
KLARICID TABLETS,7172,"LOWER RESPIRATORY TRACT INFECTION, UPPER RESPIRATORY TRACT INFECTION, CROHN'S DISEASE",0.3354712771890686,0.0013242580176049505
CIMZIA,7133,"CROHN'S DISEASE, CHEMOTHERAPY, RHEUMATOID ARTHRITIS",0.036870881816907335,0.0013170569491879687
XELODA,7113,"BREAST CANCER METASTATIC, PRODUCT USED FOR UNKNOWN INDICATION, GASTRIC CANCER",0.2599465766905666,0.0013133640935895166
AMN107,6926,"CHRONIC MYELOID LEUKAEMIA, INTERSTITIAL LUNG DISEASE, HYPERURICAEMIA",0.09038406006352873,0.0012788358937439886
LANTUS,6917,"TYPE 2 DIABETES MELLITUS, DEVICE THERAPY, THYROID DISORDER NOS",0.020529131126210784,0.0012771741087246853
RITUXAN,6869,"RHEUMATOID ARTHRITIS, WEGENER'S GRANULOMATOSIS, PULMONARY GRANULOMA",0.37865773766195954,0.0012683112552884
CILEST,6773,"CONTRACEPTION, ABDOMINAL DISTENSION, NAUSEA",0.2495201535508637,0.0012505855484158295
CHAMPIX,6701,"SMOKING CESSATION THERAPY, ANXIETY, THYROID DISORDER",0.0031338606178182363,0.0012372912682614018
DOCETAXEL,6658,"BREAST CANCER, PROSTATE CANCER, ADENOCARCINOMA LUNG",0.24391709221988586,0.0012293516287247295
FORSTEO,6655,"OSTEOPOROSIS, DIABETES MELLITUS, DEPRESSION",0.06100676183320811,0.0012287977003849618
ABIRATERONE ACETATE,6561,"PROSTATE CANCER METASTATIC, HORMONE THERAPY, PROSTATE CANCER",0.049230300259106845,0.0012114412790722364
HERCEPTIN,6423,"BREAST CANCER, BREAST CANCER METASTATIC, HYPERTENSION",0.2413202553323992,0.0011859605754429164
XGEVA,6350,"METASTASES TO BONE, PROSTATE CANCER, CHEMOTHERAPY",0.13291338582677165,0.001172481652508566
ZOLEDRONATE,6298,"METASTASES TO BONE, BONE DISORDER, BREAST CANCER METASTATIC",0.42823118450301684,0.0011628802279525904
FENTANYL,6282,"PAIN, PRODUCT USED FOR UNKNOWN INDICATION, MOUTH PAIN",0.10840496657115568,0.0011599259434738286
PRISTIQ,6195,"DEPRESSION, HYPOTHYROIDISM, STRESS",0.00774818401937046,0.0011438620216205617
DIANEAL LOW CALCIUM,6064,"END STAGE RENAL DISEASE (ESRD), PERITONEAL DIALYSIS, DRUG USE FOR UNKNOWN INDICATION",0.19904353562005278,0.0011196738174506999
TREANDA,6016,"MANTLE CELL LYMPHOMA, B-CELL LYMPHOMA, HYPERTENSION",0.1763630319148936,0.0011108109640144148
VICTRELIS,5960,"HEPATITIS C, ANAEMIA, PAIN",0.02046979865771812,0.0011004709683387487
CC-5013,5953,"CLL, THROMBOSIS PROPHYLAXIS, HYPERTENSION",0.2785150344364186,0.0010991784688792903
NEORAL,5926,"RENAL TRANSPLANT, DEEP VEIN THROMBOSIS, PSORIASIS",0.1726290921363483,0.0010941931138213799
PLAVIX,5746,"ACUTE CORONARY SYNDROME, TYPE 2 DIABETES MELLITUS, DIABETES MELLITUS",0.15993734772015314,0.0010609574134353103
PEGASYS,5688,"HEPATITIS C, DEPRESSION, ARTHRITIS",0.09247538677918425,0.001050248132199799
NEURONTIN,5682,"NERVE INJURY, MIGRAINE, MUSCLE SPASMS",0.0028159098908834917,0.0010491402755202633
AVANDIA,5627,"DIABETES MELLITUS, TYPE 2 DIABETES MELLITUS, CEREBROVASCULAR ACCIDENT",0.1748711569219833,0.00103898492262452
BETASERON,5612,"MULTIPLE SCLEROSIS, RHEUMATOID ARTHRITIS, MIGRAINE",0.013364219529579472,0.0010362152809256808
PANITUMUMAB,5571,"SQUAMOUS CELL CARCINOMA, COLORECTAL CANCER, PROPHYLAXIS",0.27822653024591637,0.0010286449269488538
CELEBREX,5565,"ARTHRITIS, FIBROMYALGIA, BLOOD CHOLESTEROL INCREASED",0.012398921832884097,0.0010275370702693182
PRILOSEC,5522,"GASTROOESOPHAGEAL REFLUX DISEASE, BIPOLAR DISORDER, THYROID DISORDER",0.0,0.0010195974307326459
EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,5507,"HIV INFECTION, ANTIFUNGAL PROPHYLAXIS, CYTOMEGALOVIRUS INFECTION",0.3934991828581805,0.0010168277890338067
REBETOL,5502,"HEPATITIS, HEPATITIS C, NEUTROPENIA",0.011632133769538349,0.0010159045751341937
JAKAFI,5500,"MYELOPROLIFERATIVE DISORDER, MYELOFIBROSIS, BUDD-CHIARI SYNDROME",0.3129090909090909,0.0010155352895743486
SIROLIMUS,5492,"LIVER TRANSPLANT, PROPHYLAXIS, THROMBOSIS PROPHYLAXIS",0.020939548434085943,0.0010140581473349678
PEG-INTERFERON ALFA 2A,5418,"HEPATITIS C, ANAEMIA, CHRONIC HEPATITIS C",0.016242155777039496,0.0010003945816206947
CAPECITABINE,5336,"COLORECTAL CANCER, GALLBLADDER CANCER METASTATIC, PANCREATIC CARCINOMA",0.220952023988006,0.0009852538736670408
FTY 720,5330,"PROPHYLAXIS, PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER, BACK PAIN",0.03151969981238274,0.0009841460169875051
LUPRON DEPOT 30 MG,5188,"PROSTATE CANCER, PROSTATIC SPECIFIC ANTIGEN INCREASED, HORMONE REPLACEMENT THERAPY",0.007710100231303007,0.0009579267422384946
FOSRENOL,5185,"HYPERPHOSPHATAEMIA, PRODUCT USED FOR UNKNOWN INDICATION, HYPERPARATHYROIDISM SECONDARY",0.0854387656702025,0.0009573728138987268
UNSPECIFIED INGREDIENT,5175,"ASTHMA, NON-SMALL CELL LUNG CANCER, NON-HODGKIN'S LYMPHOMA",0.015072463768115942,0.0009555263860995006
CARIMUNE,5169,"CHRONIC INFLAMMATORY DEMYELINATING POLYRADICULONEUROPATHY, HYPOGAMMAGLOBULINAEMIA, IMMUNODEFICIENCY COMMON VARIABLE",0.996130779647901,0.0009544185294199651
TACROLIMUS SYSTEMIC,5134,"RENAL TRANSPLANT, ORGAN TRANSPLANT, IMMUNOSUPPRESSION",0.06680950525905727,0.0009479560321226737
ZEMPLAR,5113,"RENAL FAILURE, RENAL FAILURE CHRONIC, HYPERPARATHYROIDISM SECONDARY",0.21944064150205358,0.000944078533744299
ENDOXAN 1G,5077,"NON-HODGKIN'S LYMPHOMA, NODULAR (FOLLICULAR) LYMPHOMA, URINARY TRACT INFECTION",0.022454205239314556,0.000937431393667085
EXALGO EXTENDED RELEASE,5021,"PAIN, PRODUCT USED FOR UNKNOWN INDICATION, PAIN MANAGEMENT",0.12148974307906792,0.0009270913979914189
TAXOTERE,4932,"PROSTATE CANCER RECURRENT, PROSTATE CANCER, PREMEDICATION",0.2502027575020276,0.0009106581905783068
RECLAST,4930,"OSTEOPOROSIS, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, COUGH",0.10689655172413794,0.0009102889050184615
TOPIRAMATE,4923,"MIGRAINE, PRODUCT USED FOR UNKNOWN INDICATION, PARTIAL SEIZURES",0.00832825512898639,0.0009089964055590033
CLOPIDOGREL BISULFATE,4919,"DRUG USE FOR UNKNOWN INDICATION, ANXIETY, DEPRESSION",0.09412482211831673,0.0009082578344393128
BYDUREON,4890,"TYPE 2 DIABETES MELLITUS, DIABETES MELLITUS, DIURETIC THERAPY",0.0006134969325153375,0.0009029031938215572
TASIGNA,4855,"CHRONIC MYELOID LEUKAEMIA, ULCER, HYPERTENSION",0.08094747682801236,0.0008964406965242659
XANAX,4844,"NERVOUS BREAKDOWN, ANXIETY, HYPERTENSION",0.015070189925681255,0.0008944096259451171
METHYLPREDNISOLONE,4844,"STILL'S DISEASE ADULT ONSET, DISSEMINATED INTRAVASCULAR COAGULATION, COMPLICATIONS OF TRANSPLANTED KIDNEY",0.13852188274153593,0.0008944096259451171
ABILIFY,4818,"BIPOLAR DISORDER, BIPOLAR I DISORDER, URINARY INCONTINENCE",0.008302200083022002,0.0008896089136671293
TOPAMAX,4807,"FOETAL EXPOSURE DURING PREGNANCY, MIGRAINE, PRODUCT USED FOR UNKNOWN INDICATION",0.0014562096941959641,0.0008875778430879806
BAYER GENUINE ASPIRIN ORIGINAL STRENGTH,4793,"PAIN RELIEF, TYPE 2 DIABETES MELLITUS, DIABETES MELLITUS",0.23388274567076986,0.0008849928441690641
OXYCODONE HCL,4674,"PAIN, METASTATIC RENAL CELL CARCINOMA, PYREXIA",0.011339323919554984,0.0008630203533582737
KEPPRA,4652,"EPILEPSY, MEDICAL DIET, PREGNANCY",0.09243336199484092,0.0008589582121999763
ZELBORAF,4623,"METASTATIC MALIGNANT MELANOMA, MALIGNANT MELANOMA, PRODUCT USED FOR UNKNOWN INDICATION",0.05753839498161367,0.0008536035715822206
TOPROL XL,4610,"BLOOD CHOLESTEROL INCREASED, HYPERTENSION, ARRHYTHMIA",0.008026030368763558,0.0008512032154432267
VIMPAT,4586,"EPILEPSY, ASTHMA, DEPRESSION",0.013083296990841693,0.0008467717887250841
CRIZOTINIB,4559,"NON-SMALL CELL LUNG CANCER, HYPOTHYROIDISM, COUGH",0.32682605834612855,0.0008417864336671736
CARBOPLATIN,4552,"NON-SMALL CELL LUNG CANCER, CERVIX CARCINOMA, CONVULSION",0.0421792618629174,0.0008404939342077154
ISENTRESS,4532,"HIV INFECTION, PREGNANCY, ABORTION THREATENED",0.08296557811120918,0.0008368010786092632
INVEGA SUSTENNA,4463,"SCHIZOPHRENIA, PRODUCT USED FOR UNKNOWN INDICATION, AFFECTIVE DISORDER",0.00560161326462021,0.0008240607267946032
DIFLUCAN,4441,"INFECTION, REFLUX GASTRITIS, BLOOD CHOLESTEROL",0.4217518576897095,0.0008199985856363058
PRAZAXA,4438,"ATRIAL FIBRILLATION, HYPERTENSION, ANAEMIA",0.17598017124831006,0.000819444657296538
